Nom	Adresse (ligne 1)	Adresse (ligne 2)	Adresse (ligne 3)	Code postal	Ville	Pays	Autre...	Collections : [Nom]
Albin Michel	22, rue Huyghers			75014	Paris	France	Tél : 01 42 79 10 00	[Bibliothèque Albin Michel][Bibliothèque Albin Michel Histoi][Bibliothèque de l'Evolution de l][Bibliothèque du Collège Internat][Bibliothèque Idées][Bliblio][Choix][Illustrations][L'évolution de l'humanité][Les grandes traductions / Docume][Les savants et le monde][Lettre ouverte][Roman][Sciences d'aujourd'hui][Sciences des religions][Spécial suspense][Spiritualités][Spiritualités vivantes]
Gallimard					Paris			[1000 Soleils][Arcades][Archives][Archives du surréalisme][Art et Artistes][au Vif du Sujet][Bibliothèque de la Pléiade][Bibliothèque de Philosophie][Bibliothèque des Histoires][Bibliothèque des Idées][Bibliothèque des sciences humain][Bibliothèque du voyageur][Bibliothèque illustrée des Histo][Biblos][Biographies][Cahiers Renaud-Barrault][Ciboulées][Classiques de la philosophie][Comédie-Française][Connaissance de l'inconscient][Connaissance de l'Orient][Découvertes Gallimard][Du monde entier][Folio][Folio / Bilingue][Folio / Classique][Folio / Essais][Folio / Histoire][Folio / Policier][Folio Junior][Foliothèque][Galerie Pittoresque][Haute enfance][Idées][Joëlle Losfeld][L'arbalète][L'Arpenteur][L'espèce humaine][L'esprit de la Cité][L'étrangère][L'imaginaire][L'infini][L'Un et l'Autre][La Croix du Sud][La Noire][La Nouvelle Croix du Sud][La suite des temps][le Chemin][Le Débat][Le livre de poche][Le manteau d' Arlequin][Le point du jour][Le promeneur][Le temps de la réflexion][Le temps des images][Les cahiers de la nrf][Les essais][Nouvelles][nrf][nrf essais][Oeuvres philosophiques complètes][Poésie][Poésie du monde entier][Quarto][Roman][Série noire][Tel][Témoins][Théâtre du monde entier][Théâtre National Populaire][Tracé][Vocations, VII]
Editions de la Réunion des musées nationaux					Paris			[Galeries nationales du Grand Pal][Louvre][Musarde]
Seuil					Paris			[][][]["Ecrivains de toujours"][Biographie][Champ freudien][Chemin de pensée][Combats][Connexions du Champ freudien][Ecrivains de toujours][Fiction & Cie][L'école des lettres][L'Homme][L'ordre philosophique][L'Univers historique][La couleur des idées][La librairie du XXe siècle][La librairie du XXIe siècle][Le don des langues][Le temps qui court][Les contemporains][Les empêcheurs de penser en rond][Libre à elles][Microcosme Maîtres spirituels][Microcosme Petite planète][Microcosme Solfèges][Non Conforme][Pierres Vives][Point-Virgule][Points][Points / Actuels][Points / Bilingue][Points / Essais][Points / Histoire][Points / Politique][Points / Roman][Points / Sagesse][Points / Sciences][Psychologie][Recherches anthropologiques][Science ouverte][Tel Quel][Théâtre National Populaire][Virgule]
The University Of Michigan Press					Ann Arbor	USA		[Ann Arbor]
Cercle du livre précieux					Paris			[Les Grandes études de sexologie][Tome VIII et IX][Tome XI][Tome XI et XII][Tome XII][Tome XIII][Tome XIV][Tome XV][Tome XVI]
CERF Editions franciscaines					Paris			
Editions du Regard					Paris			
Seuil/Imec						France		[Fiction et Cie]
Zürich					Zürich			
Denoël					Paris			[Arc-en-ciel][Bibliothèque Médiations][Bibliothèque psychanalytique][Denoël & D 'ailleurs][Dossiers des Lettres Nouvelles][Empreinte][Folio][Folio essais][Format Utile][Freud et son temps][L'espace analytique][La psychanalyse dans le monde co][Le roman vrai de la IIIe Républi][Les Maîtres de la Pensée Religie][Les Temps Modernes][LN][Pensée gandhienne][Présence du futur]
Verdier					Lagrasse			["Les Dix Paroles"][Der Doppelgänger][Faenas][La Cécilia][Philia][philosophie][Slovo][Terra d'altri]
Fayard					Paris			[10/18][Corpus des oeuvres de philosophi][Digraphe][Documents spirituels][Expérience et psychologie][L'analyse au singulier][L'Enfer de la Bibliothèque Natio][L'Espace intérieur][L'Esprit de la Cité][Le livre populaire][Le monde sans frontières][le signe][Le temps des sciences][Les Grandes Etudes Historiques][Les Grandes Etudes Littéraires][Les Inconnus de l'histoire][Penser la médecine][Regards sur la voie chinoise][Roman]
Le lisible et l'illisible					Paris			[Le Philosophoire]
Editions Galilée					Paris			[A la lettre][Débats][Ecritures / Figures][Incises][L'espace critique][La philosophie en effet]
Michalon					Paris			["Encre Marine"]["la parole en acte"]
Le Sycomore					Paris			[L'Asiathèque][La Boîte de Pandore][Objets et Mondes]
Ministère de la Culture et de la Communication					Paris			[Terrain]
Paul Hartmann Editeur					Paris			
Edizioni Scientifiche Italiane					Naples	Italie		[Guida Storico-artistica]
Ramsay					Paris			[Cinéma][Mots][Points][Visions]
Daniel Cohen Editeur					Paris			[Orizons]
Barco rojo					Cordoba	Argentine		
France Loisirs					Paris			[Oeuvres]
Flammarion					Paris			[Bibliothèque des savoirs][Bilbiothèque de Philosophie Scie][Champs][Champs / Contre-Champs][Classiques][Digraphe][Dominos][Figures de la science][GF][Grand art - petites monographies][Guides Delta][Harmoniques][Idées et recherches][Institut du monde arabe][L'Age d'Or][L'Odyssée][La grammaire des styles][Le monde de la philosophie][Lettres d'Extrême-Orient][Médecine sciences][Nouvelle Bibliothèque Romantique][Nouvelle bibliothèque scientifiq][Points][Pourpre][Science de l'homme][Select-Collection][Textes politiques]
Jean de Bonnot					Paris			[Ex Libris]
Vrin					Paris			["pour demain"][A la recherche de la vérité][Bibliothèque d'histoire de la ph][Bibliothèque des textes philosop][Bibliothèque Thomiste][Collège philosophique][colloque de Cerisy][Colloque de Chantilly][Conférences Pierre Abélard][De Pétrarque à Descartes][Etudes de Philosophie Médiévale][Etudes de psychologie et de phil][Histoire de la philosophie][Histoire des doctrines de l'anti][L'homme et les oeuvres][Librairie philosophique J. Vrin][Mathesis][Philosophes contemporains][Problèmes et controverses][Reprise][Sciences de l'homme][textes philosophiques]
Electa Napoli					Naples 			[Guie artistiche]
Farrago					Tours			[Musée des Beaux-Arts de Tours]
5 Continents Editions					Milan			
Kargo Editions					Paris			
Ephemere Editions								
Bayard					Paris			[Biographie][L'aventure intérieure][Petites conférences][sciences]
Presses Universitaires de Perpignan					Perpignan			[Etudes]
Maeght Editeur						Paris		
Les Prairies ordinaires					Paris			[Essais]
Editions de La Martinière					Paris			[Au bonheur des philosophes][Jeunesse]
Arthaud					Paris			[Clefs du savoir][Guide Arthaud][Les grandes civilisations][Signe des Temps]
Prodomus					Paris			
L'Edition d'Art					Paris			
Stock					Paris			[+plus][Bibliothèque cosmopolite][Echanges][Idées][L'autre pensée][La culture moderne][Monde Ouvert][Nouveau Cabinet Cosmopolite][plus][Roman][Stock / Imec]
Léo Scheer					Paris			[lignes][Non & Non][Variations II]
La musardine					Paris			[l'Attrape-corps][Lectures amoureuses de J.-J. Pau]
Stock / Spengler					Paris		titre complet de la collection : Anthologie historique des lectures érotiques.	[Anthologie des lectures érotique]
Vision					Rome	Italie		
Editions Cercle d'Art					Paris			[Galerie du passeur][Salon des indépendants]
Les publications de la Collection de l'art brut					Lausanne	Suisse		[Fascicules]
Silvana editoriale					Milan			
BnF					Paris			[Conférences del Duca][Manuscrits]
Charta					Milan			
Gallimard / Electa					Paris			[Centre Georges Pompidou][Réunion des musées nationaux]
Arts et métiers graphiques					Paris			
Nanjing Museum					Shangaï			
Nouvelles Editions Françaises					Paris			
Benedikt Taschen					Köln 	Allemagne		
Société de Gestion de l'Encyclopédie française								[Tome VIII]
Celiv					Paris			
The Gallery					Melbourne	Australie		
Editions Textuel					Paris			[Collectif][Conversations pour demain][La Discorde]
Passage du Marais					Paris			
CERF					Paris			["passages"][Classiques de la Philosophie][Histoire][Judaïsmes][L'Histoire à vif][Les dossiers de la Bible][Patrimoine Islam][Patrimoine Judaïsme][Pensée antique et médiévale][Recherches Morales][Sagesses chrétiennes][Sciences humaines et religions][Sources Chrétiennes]
L.C.L					Paris			[Les peintres du livre]
Meteora editoriale					Barcelone	Espagne		
Petit Palais					Paris			
Schimer/Mosel					Munich-Paris			[Bibliothèque Visuelle]
Multitudes					Paris			
Chronicle Books					San Francisco	USA		[Postcards]
Institut für plastination					Heidelberg	Allemagne		
Presses Universitaires de France					Paris			["de la science"]["initiation philosophique"]["Le psychologue"][A la pensée][Actualité psychanalytique][Bibliothèque Classique de Philos][Bibliothèque de Philosophie Cont][Bibliothèque de psychanalyse][Bibliothèque de psychanalyse et ][Bibliothèque de psychiatrie][Bibliothèque de sociologie conte][Bibliothèque du Collège internat][Bibliothèque scientifique intern][Bilbliothèque de Philosophie Con][Bilbliothèque de philosophie con][Corpus général des philosophes f][Dito][écriture][Epiméthée][Epîtres][Ethnologies][Formes sémiotiques][Galien][Histoire de la philosophie er ph][Histoire de la psychanalyse][Histoire et philosophie de la bi][L'actualité psychanalytique][L'interrogation philosophique][Le fait psychanalytique][Le fil rouge][Le psychologue][Le texte rêve][Les Grands Textes][Libelles][Libelles][Littératures anciennes][Littératures modernes][Logos][Mathématiques][Mémoires de l'institut des haute][Monographies de la Revue Françai][Mythes et religions][Nous partons pour ...][Nouvelle Encyclopédie Philosophi][Perspectives Critiques][Perspectives Critiques][Perspectives littéraires][Petite bibliothèque de psychanal][Philosophie d'aujourd'hui][Philosophies][Philosophies][Politique d'Aujourd'hui][Pratiques théoriques][Premier Cycle][Psychanalyse à l'université][Psychanalystes d'aujourd'hui][Psychiatrie ouverte][Psychopathologie][Publication annuelle][Quadrige][Que sais-je ?][Que sais-je ?][Questions][Questions][Recherches][Recherches politiques][Revue Française de Psychanalyse][Science, histoire er société][Science, histoire et société][Sciences Modernités Philosophies][Sinaï][Sociologie d'aujourd'hui][Sociologies][Sources][Sup][Sup][Université de Grenoble][Voix nouvelles en psychanalyse]
Editions du Félin					Paris			[incidence][Melting-pot][Philippe Lebaud][Philosophie]
Institut d'Edition Sanofi-Synthélabo					Paris			[Les empêcheurs de penser en rond]
